セッション情報
項目,値
セッション名,データ型修正テスト
ファイル名,timeseries_test.csv
分析手法,時系列分析
分析日時,2025-06-12 04:14:18
サンプル数,30
変数数,4

モデル性能指標
指標,訓練データ,テストデータ
RMSE,4.785126,9.518145
MAE,3.958333,9.008334
R2,-0.000000,-8.591857
MAPE,3.283193,6.882687

特徴量重要度
特徴量名,重要度
volume,0.000000
temperature,0.000000
price_lag_1,0.000000
price_lag_3,0.000000
price_lag_7,0.000000
price_lag_14,0.000000
price_ma_3,0.000000
price_ma_7,0.000000
price_ma_14,0.000000
month,0.000000
quarter,0.000000
day_of_week,0.000000
day_of_year,0.000000

実測値（訓練データ）
タイムスタンプ,値
2023-01-15 00:00:00,112.400000
2023-01-16 00:00:00,118.100000
2023-01-17 00:00:00,114.700000
2023-01-18 00:00:00,120.300000
2023-01-19 00:00:00,116.900000
2023-01-20 00:00:00,122.600000
2023-01-21 00:00:00,119.200000
2023-01-22 00:00:00,124.800000
2023-01-23 00:00:00,121.500000
2023-01-24 00:00:00,127.100000
2023-01-25 00:00:00,123.700000
2023-01-26 00:00:00,129.400000

予測結果（テストデータ）
タイムスタンプ,予測値,実測値,残差
2023-01-27 00:00:00,120.890000,125.900000,5.010000
2023-01-28 00:00:00,120.890000,131.600000,10.710000
2023-01-29 00:00:00,120.890000,128.200000,7.310000
2023-01-30 00:00:00,120.890000,133.900000,13.010000

未来予測
タイムスタンプ,予測値
2023-01-31 00:00:00,120.890000
2023-02-01 00:00:00,120.890000
2023-02-02 00:00:00,120.890000
2023-02-03 00:00:00,120.890000
2023-02-04 00:00:00,120.890000
2023-02-05 00:00:00,120.890000
2023-02-06 00:00:00,120.890000

